"Stkcd","Ddate","BPS"
"000001","2002-12-31","1.936468"
"000001","2003-12-31","2.037742"
"000001","2004-12-31","2.407549"
"000001","2005-12-31","2.591728"
"000001","2006-12-31","3.327366"
"000001","2007-12-31","5.671066"
"000001","2008-12-31","5.281320"
"000001","2009-12-31","6.591545"
"000001","2010-12-31","9.525797"
"000001","2011-12-31","14.713144"
"000001","2012-12-31","16.551431"
"000001","2013-12-31","11.771978"
"000001","2014-12-31","11.461619"
"000001","2015-12-31","11.286603"
"000001","2016-12-31","11.774665"
"000001","2017-12-31","12.932673"
"000001","2018-12-31","13.980315"
"000001","2019-12-31","16.128156"
"000001","2020-12-31","18.763836"
"000001","2021-12-31","20.377615"
"000001","2022-12-31","22.399258"
"000002","2002-12-31","5.430422"
"000002","2003-12-31","3.410440"
"000002","2004-12-31","2.772858"
"000002","2005-12-31","2.305115"
"000002","2006-12-31","3.891622"
"000002","2007-12-31","4.935898"
"000002","2008-12-31","3.530496"
"000002","2009-12-31","4.129845"
"000002","2010-12-31","4.964544"
"000002","2011-12-31","6.169281"
"000002","2012-12-31","7.470129"
"000002","2013-12-31","9.572376"
"000002","2014-12-31","10.499981"
"000002","2015-12-31","12.333912"
"000002","2016-12-31","14.645742"
"000002","2017-12-31","16.910170"
"000002","2018-12-31","21.344097"
"000002","2019-12-31","23.940514"
"000002","2020-12-31","30.112974"
"000002","2021-12-31","33.785791"
"000002","2022-12-31","34.820877"
"000005","2016-12-31","1.280385"
"000005","2017-12-31","1.326707"
"000005","2018-12-31","1.491980"
"000006","2001-12-31","5.258053"
"000006","2002-12-31","5.474255"
"000006","2006-12-31","5.231509"
"000006","2007-12-31","7.084330"
"000006","2008-12-31","3.308861"
"000006","2009-12-31","4.322826"
"000006","2010-12-31","3.363780"
"000006","2011-12-31","2.922040"
"000006","2012-12-31","2.761314"
"000006","2013-12-31","3.102425"
"000006","2014-12-31","3.122838"
"000006","2015-12-31","3.330735"
"000006","2016-12-31","3.800922"
"000006","2017-12-31","4.228689"
"000006","2018-12-31","4.731489"
"000006","2019-12-31","5.312300"
"000006","2020-12-31","5.806946"
"000006","2021-12-31","6.063523"
"000007","2012-12-31","1.285018"
"000007","2013-12-31","1.529431"
"000007","2014-12-31","1.549870"
"000008","2012-12-31","3.562737"
"000008","2013-12-31","1.856328"
"000008","2014-12-31","1.970842"
"000008","2015-12-31","1.206949"
"000008","2016-12-31","2.197335"
"000008","2017-12-31","2.550502"
"000008","2018-12-31","2.662854"
"000008","2019-12-31","2.724573"
"000008","2020-12-31","2.398083"
"000008","2021-12-31","1.918921"
"000008","2022-12-31","1.611106"
"000009","2002-12-31","1.324270"
"000009","2005-12-31","1.785233"
"000009","2006-12-31","2.032304"
"000009","2007-12-31","2.489164"
"000009","2008-12-31","2.401171"
"000009","2009-12-31","2.736748"
"000009","2010-12-31","3.404840"
"000009","2011-12-31","3.777428"
"000009","2012-12-31","4.302865"
"000009","2013-12-31","4.028125"
"000009","2014-12-31","3.630081"
"000009","2015-12-31","4.116294"
"000009","2016-12-31","3.784752"
"000009","2017-12-31","4.627412"
"000009","2019-12-31","4.151494"
"000009","2020-12-31","5.135452"
"000009","2021-12-31","6.071166"
"000009","2022-12-31","7.305538"
"000010","2016-12-31","2.695112"
"000010","2017-12-31","1.438789"
"000010","2018-12-31","0.720629"
"000011","2002-12-31","0.623670"
"000011","2010-12-31","1.468252"
"000011","2011-12-31","1.897895"
"000011","2012-12-31","2.523610"
"000011","2013-12-31","3.026353"
"000011","2014-12-31","3.481842"
"000012","2002-12-31","2.930477"
"000012","2003-12-31","3.254304"
"000012","2004-12-31","3.629638"
"000012","2005-12-31","2.674392"
"000012","2006-12-31","2.895945"
"000012","2007-12-31","3.607531"
"000012","2008-12-31","3.890555"
"000012","2009-12-31","4.585191"
"000012","2010-12-31","3.254755"
"000012","2011-12-31","3.519513"
"000012","2012-12-31","3.502178"
"000012","2013-12-31","4.047978"
"000012","2014-12-31","4.102290"
"000012","2015-12-31","3.683969"
"000012","2016-12-31","3.917049"
"000012","2017-12-31","3.534260"
"000012","2018-12-31","3.300216"
"000012","2019-12-31","3.175451"
"000012","2020-12-31","3.457163"
"000012","2021-12-31","3.864430"
"000012","2022-12-31","4.355914"
"000014","2009-12-31","2.420501"
"000014","2010-12-31","2.775305"
"000014","2011-12-31","2.995627"
"000014","2012-12-31","3.140100"
"000016","2002-12-31","5.292457"
"000016","2003-12-31","5.463160"
"000016","2004-12-31","5.719417"
"000016","2005-12-31","5.760413"
"000016","2006-12-31","5.890449"
"000016","2007-12-31","6.290160"
"000016","2008-12-31","3.353744"
"000016","2009-12-31","3.411599"
"000016","2010-12-31","3.509499"
"000016","2011-12-31","3.519873"
"000016","2012-12-31","3.528362"
"000016","2013-12-31","3.555983"
"000016","2014-12-31","3.570397"
"000016","2015-12-31","1.278209"
"000016","2018-12-31","3.926076"
"000016","2019-12-31","4.123476"
"000016","2020-12-31","4.453300"
"000016","2021-12-31","4.237371"
"000016","2022-12-31","3.514939"
"000018","2009-12-31","0.848794"
"000018","2010-12-31","0.837270"
"000018","2014-12-31","0.765772"
"000018","2015-12-31","2.865350"
"000018","2016-12-31","1.077867"
"000018","2017-12-31","1.330884"
"000018","2018-12-31","0.156378"
"000019","2009-12-31","2.008214"
"000019","2010-12-31","2.049996"
"000019","2011-12-31","3.546736"
"000019","2012-12-31","4.010243"
"000019","2013-12-31","4.032220"
"000019","2014-12-31","3.300245"
"000020","2002-12-31","1.038226"
"000020","2003-12-31","0.976753"
"000020","2011-12-31","0.978026"
"000020","2016-12-31","1.129034"
"000020","2017-12-31","1.132475"
"000020","2018-12-31","1.144111"
"000021","2003-12-31","3.422255"
"000021","2004-12-31","3.632997"
"000021","2005-12-31","3.912303"
"000021","2006-12-31","3.527595"
"000021","2007-12-31","3.964647"
"000021","2008-12-31","3.939104"
"000021","2009-12-31","4.494282"
"000021","2010-12-31","3.394536"
"000021","2011-12-31","3.274993"
"000021","2012-12-31","3.150385"
"000021","2013-12-31","3.372040"
"000021","2014-12-31","3.438565"
"000021","2015-12-31","3.538248"
"000021","2016-12-31","3.600540"
"000021","2017-12-31","4.029717"
"000021","2018-12-31","4.340951"
"000021","2019-12-31","4.827232"
"000021","2020-12-31","5.444299"
"000021","2021-12-31","7.352319"
"000021","2022-12-31","7.665339"
"000022","2003-06-30","4.638826"
"000022","2003-12-31","5.228582"
"000022","2004-12-31","5.146919"
"000022","2005-12-31","4.707921"
"000022","2006-12-31","4.738530"
"000022","2007-12-31","4.877169"
"000022","2008-12-31","5.161049"
"000022","2009-12-31","5.305186"
"000022","2010-12-31","5.904733"
"000022","2011-12-31","6.368324"
"000022","2012-12-31","6.925033"
"000022","2013-12-31","7.333037"
"000022","2014-12-31","7.561839"
"000022","2015-12-31","8.110429"
"000022","2016-12-31","8.742728"
"000022","2017-12-31","10.185193"
"000022","2018-12-31","44.840176"
"000022","2019-12-31","49.413198"
"000022","2020-12-31","54.972370"
"000022","2021-12-31","57.759801"
"000022","2022-12-31","51.323711"
"000023","2015-12-31","3.218245"
"000023","2016-12-31","3.283486"
"000023","2017-12-31","3.450646"
"000023","2018-12-31","3.653602"
"000024","2003-12-31","6.446050"
"000024","2004-12-31","5.741550"
"000024","2005-12-31","6.284059"
"000024","2006-12-31","7.268221"
"000024","2007-12-31","10.823887"
"000024","2008-12-31","9.479708"
"000024","2009-12-31","10.657445"
"000024","2010-12-31","12.313463"
"000024","2011-12-31","14.136718"
"000024","2012-12-31","17.142765"
"000024","2013-12-31","22.661827"
"000024","2014-12-31","16.982770"
"000025","2006-12-31","0.858966"
"000025","2009-12-31","0.885591"
"000025","2010-12-31","0.907011"
"000025","2011-12-31","0.914201"
"000025","2012-12-31","0.912748"
"000025","2013-12-31","0.924795"
"000025","2014-12-31","0.918508"
"000025","2015-12-31","2.955408"
"000025","2016-12-31","3.056147"
"000026","2006-12-31","2.288097"
"000026","2007-12-31","2.610490"
"000026","2008-12-31","2.726406"
"000026","2009-12-31","2.949923"
"000026","2010-12-31","4.590460"
"000026","2011-12-31","3.549547"
"000026","2012-12-31","3.690419"
"000026","2013-12-31","3.918886"
"000026","2014-12-31","4.167533"
"000026","2015-12-31","5.249677"
"000026","2016-12-31","5.414050"
"000026","2017-12-31","5.626075"
"000026","2018-12-31","5.858939"
"000026","2019-12-31","5.993610"
"000026","2020-12-31","6.541560"
"000026","2021-12-31","7.073469"
"000026","2022-12-31","7.511090"
"000027","2002-12-31","4.498115"
"000027","2003-12-31","5.465246"
"000027","2004-12-31","6.058300"
"000027","2005-12-31","6.586693"
"000027","2006-12-31","6.812750"
"000027","2007-12-31","6.254216"
"000027","2008-12-31","6.210833"
"000027","2009-12-31","7.121247"
"000027","2010-12-31","7.452989"
"000027","2011-12-31","6.402192"
"000027","2012-12-31","6.639761"
"000027","2013-12-31","7.128071"
"000027","2014-12-31","7.701335"
"000027","2015-12-31","6.272651"
"000027","2016-12-31","6.262508"
